FMID,MarketName,Website,Facebook,Facebook_clean,Twitter,Youtube,OtherMedia,street,city,city_clean,County,State,zip,Season1Date,Season1Datecopy 1,Season1Datecopy 2,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,Credit_clean,WIC,WIC_clean,WICcash,WICcash_clean,SFMNP,SFMNP_clean,SNAP,SNAP_clean,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018261, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,Danville,DANVILLE,Caledonia,Vermont,05828,06/14/2017 to 08/30/2017,06/14/2017,08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411036,,Y,1,Y,1,N,0,Y,1,N,0,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/2017 10:43:57 PM
1018318, Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,https://www.facebook.com/StearnsHomesteadFarmersMarket,,,,6975 Ridge Road,Parma ,PARMA ,Cuyahoga,Ohio,,06/24/2017 to 09/30/2017,06/24/2017,09/30/2017,Sat: 9:00 AM-1:00 PM;,,,,,,,-81.7339387,41.3748009,,Y,1,N,0,N,0,Y,1,N,0,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,6/21/2017 5:15:01 PM
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,,,,,106 S. Main Street,Six Mile,SIX MILE,,South Carolina,29682,,null,,,,,,,,,-82.8187,34.8042,,Y,1,N,0,N,0,N,0,N,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
1010691,10th Steet Community Farmers Market,,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,Lamar ,LAMAR,Barton,Missouri,64759,04/02/2014 to 11/30/2014,04/02/2014,11/30/2014,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.2746191,37.4956280,,Y,1,N,0,N,0,N,0,N,0,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,10/28/2014 9:49:46 AM
1002454,112st Madison Avenue,,,,,,,112th Madison Avenue,New York,NEW YORK,New York,New York,10029,July to November,7,11,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,Private business parking lot,N,0,N,0,Y,1,Y,1,N,0,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,3/1/2012 10:38:22 AM
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,https://www.facebook.com/12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt,3000 Granny White Pike,Nashville,NASHVILLE,Davidson,Tennessee,37204,05/05/2015 to 10/27/2015,05/05/2015,10/27/2015,Tue: 3:30 PM-6:30 PM;,,,,,,,-86.790709,36.118370,,Y,1,N,0,N,0,N,0,Y,1,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,5/1/2015 10:40:56 AM
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,Instagram--> 125thStreetFarmersMarket,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,NEW YORK,New York,New York,10027,06/10/2014 to 11/25/2014,06/10/2014,11/25/2014,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.9482477,40.8089533,Federal/State government building grounds,Y,1,Y,1,N,0,Y,1,Y,1,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/7/2014 4:32:01 PM
1005586,12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,Wilmington,WILMINGTON,New Castle,Delaware,19801,05/16/2014 to 10/17/2014,05/16/2014,10/17/2014,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.534460,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,0,N,0,N,0,N,0,Y,1,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/3/2014 3:43:31 PM
1008071,14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,,1400 U Street NW ,Washington,WASHINGTON,District of Columbia,District of Columbia,20009,05/03/2014 to 11/22/2014,05/03/2014,11/22/2014,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,Other,Y,1,Y,1,Y,1,Y,1,Y,1,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,4/5/2014 1:49:04 PM
1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm,"5500 Colorado Avenue, NW",Washington ,WASHINGTON,District of Columbia,District of Columbia,20011,04/09/2016 to 11/19/2016,04/09/2016,11/19/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0334486,38.9559783,,Y,1,Y,1,Y,1,Y,1,Y,1,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,7/20/2016 11:16:24 AM
